name,email,phone,date_of_birth,role
John Doe,johndoe@example.com,1234567890,1990-01-15,admin
Jane Smith,janesmith@example.com,9876543210,1985-06-30,alumni
Alice Johnson,alicejohnson@example.com,5555555555,2000-03-22,admin
Bob Brown,bobbrown@example.com,7777777777,1995-12-10,alumni
Eva Johnson,evajohnson@example.com,1112223333,1992-07-05,alumni
Michael Wilson,michaelwilson@example.com,5551112222,1980-04-15,admin
Sophia Lee,sophialee@example.com,9998887777,1998-09-20,alumni
Oliver Davis,oliverdavis@example.com,7778889999,1987-03-08,admin
Isabella Brown,isabellabrown@example.com,4445556666,1996-01-25,alumni
Liam Garcia,liamgarcia@example.com,1231231234,1983-11-12,admin
Charlotte Smith,charlottesmith@example.com,5554443333,2001-06-18,alumni
Mason Martinez,masonmartinez@example.com,8887776666,1993-10-29,admin
Ava Taylor,avataraylor@example.com,5556667777,1997-12-03,alumni
